Episode,Total Reward,Steps,Epsilon
614,2407.388288592948,722,0.001
615,5293.363374675399,1174,0.001
616,-61.04226196475857,1315,0.001
617,3870.3879703678936,1232,0.001
618,859.9005430848724,1912,0.001
619,-242.8157161561844,1234,0.001
620,614.4397819488888,1219,0.001
621,1826.9540362206228,1185,0.001
622,-1992.527195777857,2309,0.001
623,-2553.7946252123897,2432,0.001
624,2650.8515001953097,720,0.001
625,-1963.5505851084754,1726,0.001
626,-109.51206078633899,1195,0.001
627,-99.51015812816856,1108,0.001
628,-1903.8296575031802,1693,0.001
629,-1905.469824175716,1674,0.001
630,3205.8960467438374,748,0.001
631,-4748.435567898292,1889,0.001
632,2857.145373056528,702,0.001
633,3324.0883508645247,693,0.001
634,383.3656396664387,1149,0.001
635,1632.387456787213,948,0.001
636,3641.833440224341,760,0.001
637,2830.0479882190307,654,0.001
638,2660.646001017964,716,0.001
639,2810.5669709089166,683,0.001
640,277.76526829995043,1086,0.001
641,18.31096884052164,1141,0.001
642,-2769.453356248613,1537,0.001
643,1322.4095962145332,889,0.001
644,2469.769080156448,685,0.001
645,-1007.8668209260679,1557,0.001
646,1193.0173470005077,1763,0.001
647,1430.2533557494057,914,0.001
648,-415.11493422741813,1134,0.001
649,3990.7551654683957,770,0.001
650,2878.546559723934,1065,0.001
651,1454.242384049608,910,0.001
652,1161.482110528424,847,0.001
653,528.5281060823099,1229,0.001
654,-1179.8703953477875,1618,0.001
655,6332.513450242853,1168,0.001
656,416.6005122369713,1079,0.001
657,377.25019773098927,1182,0.001
658,-1069.9501168364468,1529,0.001
659,63.805889917664004,1181,0.001
660,882.4353598161634,1048,0.001
661,920.1663000173128,1105,0.001
662,-2028.9970276648112,1758,0.001
663,-2234.1302958712076,1628,0.001
664,965.5869022765213,1133,0.001
665,-6741.700830561594,2609,0.001
666,3980.8352843942635,1178,0.001
667,760.8575852124327,1189,0.001
668,-172.59754298982136,1350,0.001
669,-4294.029319192955,2071,0.001
670,394.9818525969054,1217,0.001
671,-6098.175225552546,2451,0.001
672,-4257.038127934222,2063,0.001
673,666.2937737837518,1092,0.001
674,1531.3292533597232,908,0.001
675,476.5019809173504,1195,0.001
676,-86.39765709012526,1314,0.001
677,269.35318047712457,1153,0.001
678,-5597.424667372337,2345,0.001
679,-4130.102362996632,3000,0.001
680,-4094.3259101065414,2031,0.001
681,-8432.044978708174,2832,0.001
682,-1322.9021537064805,1429,0.001
683,-2282.22518198552,3000,0.001
684,-866.9051596123436,1606,0.001
685,1126.3237149450438,1689,0.001
686,-733.6690157383952,1636,0.001
687,-464.8672036318703,1467,0.001
688,2984.0496675537897,1659,0.001
689,485.30074031171887,1164,0.001
690,1186.3994677886976,1025,0.001
691,-672.0314800855682,1530,0.001
692,1.050631686992915,1194,0.001
693,-266.91767609190936,1307,0.001
694,2271.197072819779,782,0.001
695,-5914.897402750392,2998,0.001
696,1985.3767789431017,860,0.001
697,3394.94723181646,1173,0.001
698,3691.3729804182826,1243,0.001
699,3173.4285593536238,748,0.001
700,3393.0846056914975,715,0.001
701,-2850.466309807302,2331,0.001
702,3323.81355248415,774,0.001
703,4744.634245195838,1166,0.001
704,1162.987325758516,1122,0.001
705,506.4819462952399,1158,0.001
706,2694.678751269797,682,0.001
707,706.7862987943254,1041,0.001
708,-453.7107877941365,1256,0.001
709,2503.4248992382177,694,0.001
710,2111.680120760393,761,0.001
711,-801.4657453992509,1380,0.001
712,2537.809067828679,728,0.001
713,449.7433616234217,1121,0.001
714,2597.789403740349,745,0.001
715,-968.0244226589117,2862,0.001
716,6003.700207790991,1019,0.001
717,2216.35205132494,2388,0.001
718,4409.32654447895,1131,0.001
719,545.7664390271925,1113,0.001
720,77.58750921121015,1307,0.001
721,1210.913914083868,948,0.001
722,4965.836400577393,1080,0.001
723,-1888.703928783462,1951,0.001
724,407.34210572019725,1252,0.001
725,-3079.057094465472,2112,0.001
726,-3390.411524973549,1794,0.001
727,2086.1090086363292,1383,0.001
728,875.1315518988912,1018,0.001
729,2591.7308282125186,696,0.001
730,2508.2149795536784,707,0.001
731,2734.47769590373,712,0.001
732,302.6403056993746,1131,0.001
733,692.6788204508277,1128,0.001
734,2494.134222826808,691,0.001
735,2136.8560348389406,1182,0.001
736,1816.9230535471786,961,0.001
737,3562.0836597757607,704,0.001
738,2630.095737769773,703,0.001
739,3288.1249814553707,1386,0.001
740,2733.8222303418706,670,0.001
741,3731.3935403622454,676,0.001
742,2982.872698414747,695,0.001
743,2897.5225589376237,711,0.001
744,-4930.08631721138,3000,0.001
745,935.7289709498185,1242,0.001
746,2740.144609416643,674,0.001
747,2363.879909601668,1712,0.001
748,4215.446931328114,673,0.001
749,2508.3353822479153,708,0.001
750,5148.256836488475,1158,0.001
751,2498.6606394950322,690,0.001
752,3440.1656735283723,685,0.001
753,-436.5419966972292,1210,0.001
754,850.3971970191443,1212,0.001
755,2355.7885041985337,1107,0.001
756,727.9010666033926,1101,0.001
757,2425.7062996752425,761,0.001
758,389.32431747468144,1175,0.001
759,3119.411323555736,2569,0.001
760,590.6345664770918,1198,0.001
761,-290.8297114646491,1162,0.001
762,726.2356304874904,1173,0.001
763,-1000.2222370918955,1509,0.001
764,-478.0595335596687,1517,0.001
765,-2456.203546405861,1672,0.001
766,3081.456729965705,765,0.001
767,-2957.9117503486596,1634,0.001
768,962.3276679364935,1116,0.001
